x1 x2 x3 x4
0.28431056 0.23399117 0.23471843 0.24697984
0.28430723 0.23402615 0.23468067 0.24698594
0.28430364 0.23406125 0.23464304 0.24699207
0.28429978 0.23409648 0.23460553 0.24699821
0.28429566 0.23413182 0.23456813 0.24700439
0.28429126 0.23416729 0.23453086 0.24701058
0.28428660 0.23420289 0.23449371 0.24701680
0.28428168 0.23423860 0.23445668 0.24702304
0.28427648 0.23427444 0.23441977 0.24702931
0.28427102 0.23431039 0.23438298 0.24703560
0.28426530 0.23434647 0.23434632 0.24704191
0.28425930 0.23438267 0.23430978 0.24704825
0.28425304 0.23441899 0.23427336 0.24705461
0.28424652 0.23445543 0.23423706 0.24706099
0.28423973 0.23449199 0.23420088 0.24706740
0.28423267 0.23452867 0.23416483 0.24707383
0.28422534 0.23456547 0.23412890 0.24708029
0.28421775 0.23460239 0.23409309 0.24708676
0.28420990 0.23463943 0.23405741 0.24709326
0.28420178 0.23467658 0.23402185 0.24709979
0.28419339 0.23471386 0.23398642 0.24710633
0.28418474 0.23475126 0.23395111 0.24711290
0.28417582 0.23478877 0.23391592 0.24711949
0.28416663 0.23482640 0.23388086 0.24712611
0.28415718 0.23486415 0.23384593 0.24713274
0.28414747 0.23490202 0.23381112 0.24713940
0.28413749 0.23494000 0.23377643 0.24714608
0.28412724 0.23497810 0.23374187 0.24715279
0.28411673 0.23501632 0.23370743 0.24715952
0.28410595 0.23505465 0.23367313 0.24716627
0.28409491 0.23509310 0.23363894 0.24717304
0.28408361 0.23513167 0.23360489 0.24717983
0.28407204 0.23517035 0.23357096 0.24718665
0.28406021 0.23520915 0.23353715 0.24719349
0.28404811 0.23524807 0.23350348 0.24720035
0.28403574 0.23528709 0.23346993 0.24720723
0.28402312 0.23532624 0.23343651 0.24721414
0.28401023 0.23536550 0.23340321 0.24722106
0.28399707 0.23540487 0.23337005 0.24722801
0.28398365 0.23544435 0.23333701 0.24723498
0.28396997 0.23548395 0.23330410 0.24724197
0.28395603 0.23552367 0.23327132 0.24724899
0.28394182 0.23556349 0.23323866 0.24725602
0.28392735 0.23560343 0.23320614 0.24726308
0.28391261 0.23564349 0.23317374 0.24727016
0.28389761 0.23568365 0.23314148 0.24727726
0.28388235 0.23572393 0.23310934 0.24728438
0.28386683 0.23576432 0.23307733 0.24729152
0.28385104 0.23580482 0.23304545 0.24729869
0.28383499 0.23584543 0.23301370 0.24730587
0.28381868 0.23588616 0.23298209 0.24731308
0.28380211 0.23592699 0.23295060 0.24732030
0.28378527 0.23596793 0.23291924 0.24732755
0.28376818 0.23600899 0.23288801 0.24733482
0.28375082 0.23605016 0.23285692 0.24734211
0.28373320 0.23609143 0.23282595 0.24734942
0.28371532 0.23613282 0.23279512 0.24735675
0.28369717 0.23617431 0.23276441 0.24736410
0.28367877 0.23621591 0.23273384 0.24737148
0.28366010 0.23625762 0.23270340 0.24737887
0.28364118 0.23629945 0.23267309 0.24738628
0.28362199 0.23634137 0.23264292 0.24739372
0.28360255 0.23638341 0.23261288 0.24740117
0.28358284 0.23642555 0.23258296 0.24740864
0.28356287 0.23646781 0.23255319 0.24741614
0.28354265 0.23651016 0.23252354 0.24742365
0.28352216 0.23655263 0.23249403 0.24743119
0.28350141 0.23659520 0.23246465 0.24743874
0.28348041 0.23663788 0.23243540 0.24744631
